complaint_text,category,subcategory,department,urgency
Pipeline leaking on road at Rajiv Chowk,Water,Leakage,Water Supply Department,Medium
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,High
Red light not functioning in Sector 15,Road,TrafficSignal,Traffic Management Department,High
Damaged highway surface near Sanjay Nagar,Road,Potholes,Public Works Department,Low
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Street flooded near Rajiv Chowk,Water,Waterlogging,Drainage Department,Low
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
Red light not functioning in MG Road,Road,TrafficSignal,Traffic Management Department,High
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
Public toilet in Civil Lines not cleaned,Sanitation,PublicToilet,Public Health Department,Medium
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Multiple potholes in Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Signal broken at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Signal faulty at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
Footpath tiles missing at Sector 15,Road,Footpath,Urban Development Department,Medium
Lamp post faulty in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Red light not functioning in Old Market,Road,TrafficSignal,Traffic Management Department,High
Dangerous hanging wires at MG Road,Electricity,Wiring,Electrical Safety Department,High
Uneven street causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Multiple potholes in Civil Lines,Road,Potholes,Public Works Department,Low
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,Medium
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Complete blackout at Sector 15,Electricity,PowerCut,Electricity Distribution Department,Medium
Contaminated water from taps at Sector 15,Water,Quality,Water Quality Department,High
Damaged highway surface near Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Complete blackout at Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
No proper pavement in Old Market,Road,Footpath,Urban Development Department,Low
Large potholes on MG Road lane,Road,Potholes,Public Works Department,Low
Footpath tiles missing at Old Market,Road,Footpath,Urban Development Department,Low
Signal broken at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,Medium
Underground pipe burst at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Blocked manhole in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Severe water leakage in Sector 15,Water,Leakage,Water Supply Department,High
Water not safe for drinking in Rajiv Chowk,Water,Quality,Water Quality Department,High
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Public toilet in MG Road not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Brown water supply in MG Road,Water,Quality,Water Quality Department,Medium
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Public toilet in MG Road not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Damaged highway surface near Sector 15,Road,Potholes,Public Works Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,Medium
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Medium
Brown water supply in Sector 15,Water,Quality,Water Quality Department,High
Signal broken at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Multiple potholes in Civil Lines,Road,Potholes,Public Works Department,Medium
Waste lying unattended in Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Medium
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Brown water supply in MG Road,Water,Quality,Water Quality Department,Medium
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Pipeline leaking on highway at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,High
Large potholes on Rajiv Chowk street,Road,Potholes,Public Works Department,Low
Pipeline leaking on road at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,Medium
No water in public toilet at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Flickering light pole at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Lamp post faulty in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Lamp post cracked in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Medium
Underground pipe burst at Sector 15,Water,Leakage,Water Supply Department,High
Uneven highway causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Flickering light pole at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
No water in public toilet at Old Market,Sanitation,PublicToilet,Public Health Department,Low
No proper pavement in Old Market,Road,Footpath,Urban Development Department,Low
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Damaged highway surface near Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Power outage reported in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,Medium
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,Medium
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,Medium
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Large potholes on Old Market road,Road,Potholes,Public Works Department,Medium
Lamp post faulty in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Damaged street surface near Rajiv Chowk,Road,Potholes,Public Works Department,Low
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Multiple potholes in Old Market,Road,Potholes,Public Works Department,Low
Dark area due to faulty streetlights at Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Pipeline leaking on street at Rajiv Chowk,Water,Leakage,Water Supply Department,Medium
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,Medium
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Medium
Clogged drain near Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,High
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Trash scattered around Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Public toilet in MG Road not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Uneven street causing accidents at Civil Lines,Road,Potholes,Public Works Department,Medium
Multiple potholes in MG Road,Road,Potholes,Public Works Department,Medium
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Brown water supply in MG Road,Water,Quality,Water Quality Department,Medium
Lamp post cracked in Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Large potholes on Old Market road,Road,Potholes,Public Works Department,Medium
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Red light not functioning in Old Market,Road,TrafficSignal,Traffic Management Department,High
Broken electric wires lying in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Lamp post damaged in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Waterlogging after heavy rain in Civil Lines,Water,Waterlogging,Drainage Department,Medium
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Lamp post damaged in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Medium
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Large potholes on Sector 15 street,Road,Potholes,Public Works Department,Low
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
No proper pavement in Sector 15,Road,Footpath,Urban Development Department,Medium
Uneven lane causing accidents at Sector 15,Road,Potholes,Public Works Department,Medium
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Waste lying unattended in Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Electricity failure since last night in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,Medium
Brown water supply in MG Road,Water,Quality,Water Quality Department,Medium
Damaged street surface near MG Road,Road,Potholes,Public Works Department,Medium
Signal cracked at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Pipeline leaking on street at Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Large potholes on MG Road highway,Road,Potholes,Public Works Department,Low
Drain blocked and water pooling at Civil Lines,Water,Waterlogging,Drainage Department,Low
Blocked manhole in Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,High
Damaged highway surface near Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Uneven street causing accidents at Sector 15,Road,Potholes,Public Works Department,Low
Drain blocked and water pooling at Sector 15,Water,Waterlogging,Drainage Department,Low
Defective traffic signal in Civil Lines,Road,TrafficSignal,Traffic Management Department,High
Dangerous hanging wires at Old Market,Electricity,Wiring,Electrical Safety Department,High
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Lamp post faulty in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Pipeline leaking on street at Sector 15,Water,Leakage,Water Supply Department,High
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Loose electrical cables in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Red light not functioning in Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,Medium
Multiple potholes in Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Brown water supply in MG Road,Water,Quality,Water Quality Department,Medium
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Medium
Flickering light pole at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Uneven lane causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Foul smell from toilet at Sector 15,Sanitation,PublicToilet,Public Health Department,Medium
Defective traffic signal in Civil Lines,Road,TrafficSignal,Traffic Management Department,High
Broken pipeline flooding Civil Lines,Water,Leakage,Water Supply Department,High
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Low
Lamp post cracked in MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Street flooded near Old Market,Water,Waterlogging,Drainage Department,Medium
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Pipeline leaking on lane at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Broken electric wires lying in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Large potholes on Sector 15 highway,Road,Potholes,Public Works Department,Medium
Dangerous hanging wires at Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Blocked manhole in Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Lamp post damaged in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Medium
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Uneven lane causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Dangerous hanging wires at Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Public toilet in MG Road not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Loose electrical cables in Old Market,Electricity,Wiring,Electrical Safety Department,High
Severe water leakage in Civil Lines,Water,Leakage,Water Supply Department,Medium
Uneven highway causing accidents at Old Market,Road,Potholes,Public Works Department,Low
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Water not safe for drinking in Rajiv Chowk,Water,Quality,Water Quality Department,Medium
Pipeline leaking on lane at Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Lamp post damaged in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Electricity failure since last night in Old Market,Electricity,PowerCut,Electricity Distribution Department,High
Uneven road causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Power outage reported in Old Market,Electricity,PowerCut,Electricity Distribution Department,High
Complete blackout at Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Clogged drain near Sanjay Nagar,Sanitation,Sewage,Drainage and Sewerage Department,High
Street flooded near MG Road,Water,Waterlogging,Drainage Department,Medium
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
No water in public toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Low
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Clogged drain near Old Market,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Overflowing dustbins in Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Brown water supply in MG Road,Water,Quality,Water Quality Department,Medium
Contaminated water from taps at Sector 15,Water,Quality,Water Quality Department,Medium
No water in public toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Low
Pipeline leaking on street at Rajiv Chowk,Water,Leakage,Water Supply Department,Medium
Uneven road causing accidents at Civil Lines,Road,Potholes,Public Works Department,Medium
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Exposed live wire near Old Market,Electricity,Wiring,Electrical Safety Department,High
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
Traffic signal not working at Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,High
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Lamp post damaged in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Exposed live wire near Sector 15,Electricity,Wiring,Electrical Safety Department,High
Large potholes on MG Road street,Road,Potholes,Public Works Department,Medium
Waste lying unattended in Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Medium
Red light not functioning in MG Road,Road,TrafficSignal,Traffic Management Department,High
Uneven street causing accidents at Civil Lines,Road,Potholes,Public Works Department,Medium
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Damaged highway surface near MG Road,Road,Potholes,Public Works Department,Medium
Sewage water overflowing at Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Severe water leakage in Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Medium
Large potholes on Old Market highway,Road,Potholes,Public Works Department,Medium
Exposed live wire near Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Pipeline leaking on road at Sector 15,Water,Leakage,Water Supply Department,High
Pipeline leaking on street at Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Overflowing dustbins in Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Low
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,Medium
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,Medium
Power outage reported in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,Medium
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Medium
No proper pavement in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Uneven road causing accidents at Old Market,Road,Potholes,Public Works Department,Medium
Foul smell from toilet at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,High
Dark area due to faulty streetlights at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Waste lying unattended in Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Sewage water overflowing at Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,High
Uneven highway causing accidents at Sector 15,Road,Potholes,Public Works Department,Low
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Defective traffic signal in MG Road,Road,TrafficSignal,Traffic Management Department,High
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Large potholes on Civil Lines lane,Road,Potholes,Public Works Department,Medium
Lamp post cracked in Sector 15,Electricity,Streetlight,Municipal Lighting Department,Medium
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Defective traffic signal in MG Road,Road,TrafficSignal,Traffic Management Department,High
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,Medium
Large potholes on Old Market street,Road,Potholes,Public Works Department,Medium
Pipeline leaking on lane at MG Road,Water,Leakage,Water Supply Department,High
Footpath tiles missing at Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Public toilet in MG Road not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Uneven road causing accidents at MG Road,Road,Potholes,Public Works Department,Medium
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Lamp post damaged in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Medium
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Uneven highway causing accidents at Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Pipeline leaking on street at Civil Lines,Water,Leakage,Water Supply Department,Medium
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Brown water supply in MG Road,Water,Quality,Water Quality Department,Medium
Lamp post damaged in Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
No proper pavement in Sector 15,Road,Footpath,Urban Development Department,Low
Blocked manhole in Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Medium
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Medium
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Garbage not collected at Civil Lines for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Loose electrical cables in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Power outage reported in Civil Lines,Electricity,PowerCut,Electricity Distribution Department,Medium
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Uneven street causing accidents at Rajiv Chowk,Road,Potholes,Public Works Department,Low
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Medium
No water in public toilet at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Damaged street surface near MG Road,Road,Potholes,Public Works Department,Low
Severe water leakage in Civil Lines,Water,Leakage,Water Supply Department,Medium
Signal broken at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
No electricity supply since morning in Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
Sewage water overflowing at Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,High
Damaged street surface near Sector 15,Road,Potholes,Public Works Department,Medium
Flickering light pole at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Large potholes on MG Road street,Road,Potholes,Public Works Department,Medium
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Medium
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Uneven road causing accidents at Sector 15,Road,Potholes,Public Works Department,Medium
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Severe water leakage in Rajiv Chowk,Water,Leakage,Water Supply Department,Medium
Traffic signal not working at Old Market,Road,TrafficSignal,Traffic Management Department,High
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Low
Signal cracked at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
Red light not functioning in Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,High
Signal cracked at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Lamp post faulty in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Medium
Flickering light pole at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Exposed live wire near Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Sewage water overflowing at Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,High
Footpath tiles missing at Sanjay Nagar,Road,Footpath,Urban Development Department,Medium
Damaged highway surface near Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Street flooded near Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Unsafe sidewalk at Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Public toilet in Rajiv Chowk not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Damaged lane surface near Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Multiple potholes in Old Market,Road,Potholes,Public Works Department,Medium
Pipeline leaking on street at Sector 15,Water,Leakage,Water Supply Department,High
Multiple potholes in Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Damaged road surface near MG Road,Road,Potholes,Public Works Department,Medium
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Street flooded near Rajiv Chowk,Water,Waterlogging,Drainage Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,Medium
Pipeline leaking on lane at Sector 15,Water,Leakage,Water Supply Department,High
Multiple potholes in Civil Lines,Road,Potholes,Public Works Department,Medium
Traffic signal not working at MG Road,Road,TrafficSignal,Traffic Management Department,Medium
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Dark area due to faulty streetlights at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,Medium
Street flooded near Old Market,Water,Waterlogging,Drainage Department,Medium
Large potholes on Civil Lines lane,Road,Potholes,Public Works Department,Medium
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Power outage reported in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,High
Large potholes on MG Road street,Road,Potholes,Public Works Department,Medium
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Signal cracked at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Uneven highway causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Low
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,Medium
Damaged street surface near Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,Medium
